expert,model_type,file_name,path,exists,size_mb,accuracy,precision,recall,f1,auc,training_time,n_samples,source_timestamp
ichimoku_expert,random_forest,ichimoku_expert_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\ichimoku_expert_random_forest.pkl,True,3.807381,0.6059822747415067,0.6167048054919908,0.4240755310778914,0.5025641025641026,0.6420163521454731,0.43923115730285645,13539,2026-03-22T09:47:27.071935
ichimoku_expert,gradient_boosting,ichimoku_expert_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\ichimoku_expert_gradient_boosting.pkl,True,0.329482,0.5908419497784343,0.5906562847608454,0.4177812745869394,0.4894009216589862,0.6257895880864661,1.4000244140625,13539,2026-03-22T09:47:27.071935
fibonacci_expert,random_forest,fibonacci_expert_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\fibonacci_expert_random_forest.pkl,True,3.763131,0.5796084226080532,0.5761741122565864,0.3957513768686074,0.46921641791044777,0.6237595580870895,0.45096325874328613,13534,2026-03-22T09:47:27.071935
fibonacci_expert,gradient_boosting,fibonacci_expert_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\fibonacci_expert_gradient_boosting.pkl,True,0.319887,0.5796084226080532,0.5748031496062992,0.4020456333595594,0.47314814814814815,0.613414414986993,1.6424665451049805,13534,2026-03-22T09:47:27.071935
ichimoku_expert,xgboost,ichimoku_expert_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\ichimoku_expert_xgboost.pkl,True,0.186248,0.5642540620384048,0.5477439664218258,0.4107002360346184,0.4694244604316547,0.5870524800607964,0.08695578575134277,13539,2026-03-22T09:47:27.071935
ichimoku_expert,lightgbm,ichimoku_expert_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\ichimoku_expert_lightgbm.pkl,True,0.202959,0.5616691285081241,0.5475113122171946,0.3808025177025964,0.4491879350348028,0.5820810248643937,0.07978463172912598,13539,2026-03-22T09:47:27.071935
fibonacci_expert,lightgbm,fibonacci_expert_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\fibonacci_expert_lightgbm.pkl,True,0.216125,0.5570742519394163,0.5420560747663551,0.36506687647521635,0.43629525152797366,0.5707451856170103,0.07774043083190918,13534,2026-03-22T09:47:27.071935
fibonacci_expert,xgboost,fibonacci_expert_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\fibonacci_expert_xgboost.pkl,True,0.189821,0.5437753971185815,0.5192719486081371,0.3815892997639654,0.4399092970521542,0.5636362042477466,0.10774731636047363,13534,2026-03-22T09:47:27.071935
trend_master,random_forest,trend_master_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\trend_master_random_forest.pkl,True,3.203694,0.5401344404903123,0.5473411154345007,0.08931216931216931,0.15356622998544395,0.5617531080116871,1.5251436233520508,50580,2026-03-22T09:47:27.071935
zone_mapper,random_forest,zone_mapper_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\zone_mapper_random_forest.pkl,True,3.130709,0.5517750387482471,0.6141479099678456,0.12018247601069687,0.20102618076568873,0.5570090003522346,1.1519625186920166,67745,2026-03-22T09:47:27.071935
zone_mapper,gradient_boosting,zone_mapper_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\zone_mapper_gradient_boosting.pkl,True,0.346461,0.5481585356852904,0.5829216654904729,0.129935504168633,0.21250321584769746,0.5491538913861433,4.195080041885376,67745,2026-03-22T09:47:27.071935
trend_master,gradient_boosting,trend_master_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\trend_master_gradient_boosting.pkl,True,0.314567,0.5435943060498221,0.5655339805825242,0.09862433862433863,0.16795819066498469,0.5485914501829916,8.818073034286499,50580,2026-03-22T09:47:27.071935
volume_expert,xgboost,volume_expert_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\volume_expert_xgboost.pkl,True,0.177433,0.5425358780884746,0.5301659125188537,0.2216267339218159,0.3125833703868386,0.5483194532870732,0.20782852172851562,33794,2026-03-22T09:47:27.071935
swing_expert,random_forest,swing_expert_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\swing_expert_random_forest.pkl,True,3.198003,0.5457614855902568,0.569060773480663,0.13232271325796505,0.21471753179070252,0.5479399419406922,0.6480247974395752,41465,2026-03-22T09:47:27.071935
swing_expert,gradient_boosting,swing_expert_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\swing_expert_gradient_boosting.pkl,True,0.314672,0.5505848305800073,0.5901639344262295,0.13874614594039056,0.2246723528188059,0.5461342582375819,3.036351442337036,41465,2026-03-22T09:47:27.071935
volume_expert,random_forest,volume_expert_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\volume_expert_random_forest.pkl,True,3.560435,0.5407604675247818,0.5330097087378641,0.17307692307692307,0.2613041408852927,0.5459076861202936,0.8498389720916748,33794,2026-03-22T09:47:27.071935
pullback_hunter,gradient_boosting,pullback_hunter_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\pullback_hunter_gradient_boosting.pkl,True,0.357574,0.5434059844846694,0.560478199718706,0.12547229219143577,0.20504244918960637,0.54221477750959,8.170390844345093,67674,2026-03-22T09:47:27.071935
volume_expert,gradient_boosting,volume_expert_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\volume_expert_gradient_boosting.pkl,True,0.30527,0.5397248113626276,0.526919682259488,0.1882093316519546,0.27735191637630663,0.5414843112528744,3.6635804176330566,33794,2026-03-22T09:47:27.071935
volume_expert,lightgbm,volume_expert_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\volume_expert_lightgbm.pkl,True,0.219892,0.5385412043201657,0.5190784737221023,0.2273013871374527,0.31615873711905285,0.5407008230998094,0.10789227485656738,33794,2026-03-22T09:47:27.071935
microstructure_expert,random_forest,microstructure_expert_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\microstructure_expert_random_forest.pkl,True,3.838188,0.540137869690905,0.5440451021846371,0.12197819560752093,0.1992772328342798,0.539725504363742,1.287731409072876,67452,2026-03-22T09:47:27.071935
pullback_hunter,random_forest,pullback_hunter_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\pullback_hunter_random_forest.pkl,True,3.401149,0.5376431473956409,0.5546511627906977,0.07509445843828716,0.13227953410981697,0.5389482816270295,1.7789902687072754,67674,2026-03-22T09:47:27.071935
microstructure_expert,xgboost,microstructure_expert_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\microstructure_expert_xgboost.pkl,True,0.17466,0.5379141649988881,0.525279403938265,0.1559488070785274,0.24049707602339182,0.5350766975631867,0.18137598037719727,67452,2026-03-22T09:47:27.071935
microstructure_expert,gradient_boosting,microstructure_expert_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\microstructure_expert_gradient_boosting.pkl,True,0.302993,0.5400637462011711,0.5408432147562582,0.1297203349660294,0.2092519434178667,0.5340110718474363,5.518873929977417,67452,2026-03-22T09:47:27.071935
swing_expert,lightgbm,swing_expert_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\swing_expert_lightgbm.pkl,True,0.228153,0.5405763897262752,0.5372727272727272,0.15184994861253853,0.23677884615384615,0.5339649986116861,0.14866209030151367,41465,2026-03-22T09:47:27.071935
risk_guardian,xgboost,risk_guardian_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\risk_guardian_xgboost.pkl,True,0.173215,0.5331956329300679,0.5077062556663645,0.17604526878340146,0.26143790849673204,0.5325011927488212,0.18296194076538086,33890,2026-03-22T09:47:27.071935
risk_guardian,lightgbm,risk_guardian_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\risk_guardian_lightgbm.pkl,True,0.207079,0.5327530244910003,0.5063868613138686,0.1744734360264068,0.25952770633621697,0.5324668894762541,0.6602091789245605,33890,2026-03-22T09:47:27.071935
trend_master,xgboost,trend_master_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\trend_master_xgboost.pkl,True,0.187962,0.5291617240015817,0.486231884057971,0.142010582010582,0.21981981981981982,0.5321006694481003,0.15933513641357422,50580,2026-03-22T09:47:27.071935
market_microstructure_expert,gradient_boosting,market_microstructure_expert_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\market_microstructure_expert_gradient_boosting.pkl,True,0.277181,0.5316642120765832,0.5011286681715575,0.34850863422291994,0.4111111111111111,0.5317749419195823,2.13334321975708,6786,2026-03-22T09:47:27.071935
trend_master,lightgbm,trend_master_lightgbm.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\trend_master_lightgbm.pkl,True,0.199566,0.5350929221035983,0.5078909612625538,0.14984126984126983,0.23141036117012584,0.5312319670546345,0.16739225387573242,50580,2026-03-22T09:47:27.071935
