Timeframe,Ativo,Status,Linhas,Nulos,Erros_OHLC,Precos_Inval,Duplicatas
H4,AUDCHF,✅ OK,13195,0,0,0,0
H4,AUDNZD,✅ OK,13195,0,0,0,0
H4,AUDPLN,✅ OK,13195,0,0,0,0
H4,AUDSGD,✅ OK,13195,0,0,0,0
H4,AUDUSD,✅ OK,13195,0,0,0,0
H4,AUS200,✅ OK,13195,0,0,0,0
H4,BTCAUD,✅ OK,13195,0,0,0,0
H4,CADCHF,✅ OK,13195,0,0,0,0
H4,CADJPY,✅ OK,13195,0,0,0,0
H4,CHFJPY,✅ OK,13195,0,0,0,0
H4,CHFPLN,✅ OK,13195,0,0,0,0
H4,CHFSGD,✅ OK,13195,0,0,0,0
H4,CN50,✅ OK,13195,0,0,0,0
H4,ETCUSD,✅ OK,13195,0,0,0,0
H4,EURAUD,✅ OK,13195,0,0,0,0
H4,EURCAD,✅ OK,13195,0,0,0,0
H4,EURCHF,✅ OK,13195,0,0,0,0
H4,EURCZK,✅ OK,13195,0,0,0,0
H4,EURDKK,✅ OK,13195,0,0,0,0
H4,EURGBP,✅ OK,13195,0,0,0,0
H4,EURHUF,✅ OK,13195,0,0,0,0
H4,EURJPY,✅ OK,13195,0,0,0,0
H4,EURMXN,✅ OK,13195,0,0,0,0
H4,EURNOK,✅ OK,13195,0,0,0,0
H4,EURNZD,✅ OK,13195,0,0,0,0
H4,EURPLN,✅ OK,13195,0,0,0,0
H4,EURSEK,✅ OK,13195,0,0,0,0
H4,EURSGD,✅ OK,13195,0,0,0,0
H4,EURTRY,✅ OK,13195,0,0,0,0
H4,EURUSD,✅ OK,13195,0,0,0,0
H4,EURZAR,✅ OK,13195,0,0,0,0
H4,EUSTX50-F,✅ OK,13195,0,0,0,0
H4,EUSTX50,✅ OK,13195,0,0,0,0
H4,FRA40-F,✅ OK,13195,0,0,0,0
H4,FRA40,✅ OK,13195,0,0,0,0
H4,GBPAUD,✅ OK,13195,0,0,0,0
H4,GBPCAD,✅ OK,13195,0,0,0,0
H4,GBPCHF,✅ OK,13195,0,0,0,0
H4,GBPNZD,✅ OK,13195,0,0,0,0
H4,GBPUSD,✅ OK,13195,0,0,0,0
H4,GER40-F,✅ OK,13195,0,0,0,0
H4,GER40,✅ OK,13195,0,0,0,0
H4,HK50-F,✅ OK,13195,0,0,0,0
H4,HK50,✅ OK,13195,0,0,0,0
H4,JPN225-F,✅ OK,13195,0,0,0,0
H4,JPN225,✅ OK,13195,0,0,0,0
H4,LTCUSD,✅ OK,13195,0,0,0,0
H4,MXNJPY,✅ OK,13195,0,0,0,0
H4,NAS100-F,✅ OK,13195,0,0,0,0
H4,NAS100,✅ OK,13195,0,0,0,0
H4,NZDCHF,✅ OK,13195,0,0,0,0
H4,NZDJPY,✅ OK,13195,0,0,0,0
H4,NZDSGD,✅ OK,13195,0,0,0,0
H4,NZDUSD,✅ OK,13195,0,0,0,0
H4,SCI25,✅ OK,13195,0,0,0,0
H4,SGDJPY,✅ OK,13195,0,0,0,0
H4,SPA35,✅ OK,13195,0,0,0,0
H4,TRXUSD,✅ OK,13195,0,0,0,0
H4,UK100-F,✅ OK,13195,0,0,0,0
H4,UK100,✅ OK,13195,0,0,0,0
H4,US2000,✅ OK,13195,0,0,0,0
H4,US30-F,✅ OK,13195,0,0,0,0
H4,US30,✅ OK,13195,0,0,0,0
H4,US500-F,✅ OK,13195,0,0,0,0
H4,US500,✅ OK,13195,0,0,0,0
H4,USDCAD,✅ OK,13195,0,0,0,0
H4,USDCHF,✅ OK,13195,0,0,0,0
H4,USDCNH,✅ OK,13195,0,0,0,0
H4,USDCZK,✅ OK,13195,0,0,0,0
H4,USDDKK,✅ OK,13195,0,0,0,0
H4,USDHKD,✅ OK,13195,0,0,0,0
H4,USDHUF,✅ OK,13195,0,0,0,0
H4,USDILS,✅ OK,13195,0,0,0,0
H4,USDJPY,✅ OK,13195,0,0,0,0
H4,USDMXN,✅ OK,13195,0,0,0,0
H4,USDNOK,✅ OK,13195,0,0,0,0
H4,USDPLN,✅ OK,13195,0,0,0,0
H4,USDRON,✅ OK,13195,0,0,0,0
H4,USDSEK,✅ OK,13195,0,0,0,0
H4,USDSGD,✅ OK,13195,0,0,0,0
H4,USDTHB,✅ OK,13195,0,0,0,0
H4,USDTRY,✅ OK,13195,0,0,0,0
H4,USDX-F,✅ OK,13195,0,0,0,0
H4,USDX,✅ OK,13195,0,0,0,0
H4,USDZAR,✅ OK,13195,0,0,0,0
H4,XAGUSD-F,✅ OK,13195,0,0,0,0
H4,XAGUSD,✅ OK,13195,0,0,0,0
H4,XAUUSD-F,✅ OK,13195,0,0,0,0
H4,XAUUSD,✅ OK,13195,0,0,0,0
H4,XPDUSD,✅ OK,13195,0,0,0,0
H4,XPTUSD,✅ OK,13195,0,0,0,0
H4,ZARJPY,✅ OK,13195,0,0,0,0
H4,CA60,✅ OK,3002,0,0,0,0
H4,EURX,✅ OK,9219,0,0,0,0
H4,JPYX,✅ OK,9219,0,0,0,0
H4,ETHAUD,✅ OK,8843,0,0,0,0
H4,COMPUSD,✅ OK,9907,0,0,0,0
H4,KSMUSD,✅ OK,7949,0,0,0,0
