Timeframe,Ativo,Linhas_Original,Linhas_Final,Linhas_Removidas,Status_Final,Nulos_Corrigidos,Erros_OHLC_Corrigidos
01,AUDNZD,52694,52694,0,✅ OK,0,0
01,AUDPLN,52694,52694,0,✅ OK,0,0
01,AUDSGD,52694,52694,0,✅ OK,0,0
01,AUDUSD,52694,52694,0,✅ OK,0,0
01,AUS200,52694,52694,0,✅ OK,0,0
01,BTCAUD,52694,52694,0,✅ OK,0,0
01,CADCHF,52694,52694,0,✅ OK,0,0
01,CADJPY,52694,52694,0,✅ OK,0,0
01,CHFJPY,52694,52694,0,✅ OK,0,0
01,CHFPLN,52694,52694,0,✅ OK,0,0
01,CHFSGD,52694,52694,0,✅ OK,0,0
01,CN50,52694,52694,0,✅ OK,0,0
01,ETCUSD,52694,52694,0,✅ OK,0,0
01,EURAUD,52694,52694,0,✅ OK,0,0
01,EURCAD,52694,52694,0,✅ OK,0,0
01,EURCHF,52694,52694,0,✅ OK,0,0
01,EURCZK,52694,52694,0,✅ OK,0,0
01,EURDKK,52694,52694,0,✅ OK,0,0
01,EURGBP,52694,52694,0,✅ OK,0,0
01,EURHUF,52694,52694,0,✅ OK,0,0
01,EURJPY,52694,52694,0,✅ OK,0,0
01,EURMXN,52694,52694,0,✅ OK,0,0
01,EURNOK,52694,52694,0,✅ OK,0,0
01,EURNZD,52694,52694,0,✅ OK,0,0
01,EURPLN,52694,52694,0,✅ OK,0,0
01,EURSEK,52694,52694,0,✅ OK,0,0
01,EURSGD,52694,52694,0,✅ OK,0,0
01,EURTRY,52694,52694,0,✅ OK,0,0
01,EURUSD,52694,52694,0,✅ OK,0,0
01,EURZAR,52694,52694,0,✅ OK,0,0
01,EUSTX50-F,52694,52694,0,✅ OK,0,0
01,EUSTX50,52694,52694,0,✅ OK,0,0
01,FRA40-F,52694,52694,0,✅ OK,0,0
01,FRA40,52694,52694,0,✅ OK,0,0
01,GBPAUD,52694,52694,0,✅ OK,0,0
01,GBPCAD,52694,52694,0,✅ OK,0,0
01,GBPCHF,52694,52694,0,✅ OK,0,0
01,GBPNZD,52694,52694,0,✅ OK,0,0
01,GBPUSD,52694,52694,0,✅ OK,0,0
01,GER40-F,52694,52694,0,✅ OK,0,0
01,GER40,52694,52694,0,✅ OK,0,0
01,HK50-F,52694,52694,0,✅ OK,0,0
01,HK50,52694,52694,0,✅ OK,0,0
01,JPN225-F,52694,52694,0,✅ OK,0,0
01,JPN225,52694,52694,0,✅ OK,0,0
01,LTCUSD,52694,52694,0,✅ OK,0,0
01,MXNJPY,52694,52694,0,✅ OK,0,0
01,NAS100-F,52694,52694,0,✅ OK,0,0
01,NAS100,52694,52694,0,✅ OK,0,0
01,NZDCHF,52694,52694,0,✅ OK,0,0
01,NZDJPY,52694,52694,0,✅ OK,0,0
01,NZDSGD,52694,52694,0,✅ OK,0,0
01,NZDUSD,52694,52694,0,✅ OK,0,0
01,SCI25,52694,52694,0,✅ OK,0,0
01,SGDJPY,52694,52694,0,✅ OK,0,0
01,SPA35,52694,52694,0,✅ OK,0,0
01,TRXUSD,52694,52694,0,✅ OK,0,0
01,UK100-F,52694,52694,0,✅ OK,0,0
01,UK100,52694,52694,0,✅ OK,0,0
01,US2000,52694,52694,0,✅ OK,0,0
01,US30-F,52694,52694,0,✅ OK,0,0
01,US30,52694,52694,0,✅ OK,0,0
01,US500-F,52694,52694,0,✅ OK,0,0
01,US500,52694,52694,0,✅ OK,0,0
01,USDCAD,52694,52694,0,✅ OK,0,0
01,USDCHF,52694,52694,0,✅ OK,0,0
01,USDCNH,52694,52694,0,✅ OK,0,0
01,USDCZK,52694,52694,0,✅ OK,0,0
01,USDDKK,52694,52694,0,✅ OK,0,0
01,USDHKD,52694,52694,0,✅ OK,0,0
01,USDHUF,52694,52694,0,✅ OK,0,0
01,USDILS,52694,52694,0,✅ OK,0,0
01,USDJPY,52694,52694,0,✅ OK,0,0
01,USDMXN,52694,52694,0,✅ OK,0,0
01,USDNOK,52694,52694,0,✅ OK,0,0
01,USDPLN,52694,52694,0,✅ OK,0,0
01,USDRON,52694,52694,0,✅ OK,0,0
01,USDSEK,52694,52694,0,✅ OK,0,0
01,USDSGD,52694,52694,0,✅ OK,0,0
01,USDTHB,52694,52694,0,✅ OK,0,0
01,USDTRY,52694,52694,0,✅ OK,0,0
01,USDX-F,52694,52694,0,✅ OK,0,0
01,USDX,52694,52694,0,✅ OK,0,0
01,USDZAR,52694,52694,0,✅ OK,0,0
01,XAGUSD-F,52694,52694,0,✅ OK,0,0
01,XAGUSD,52694,52694,0,✅ OK,0,0
01,XAUUSD-F,52694,52694,0,✅ OK,0,0
01,XAUUSD,52694,52694,0,✅ OK,0,0
01,XPDUSD,52694,52694,0,✅ OK,0,0
01,XPTUSD,52694,52694,0,✅ OK,0,0
01,ZARJPY,52694,52694,0,✅ OK,0,0
04,CA60,11958,11958,0,✅ OK,0,0
05,EURX,35804,35804,0,✅ OK,0,0
05,JPYX,35804,35804,0,✅ OK,0,0
06,ETHAUD,31973,31973,0,✅ OK,0,0
07,COMPUSD,36011,36011,0,✅ OK,0,0
09,KSMUSD,28734,28734,0,✅ OK,0,0
10,SWI20-F,19240,19240,0,✅ OK,0,0
10,SWI20,19240,19240,0,✅ OK,0,0
11,CHINAH,19318,19318,0,✅ OK,0,0
