expert,key,symbol,timeframe,model,accuracy,precision,recall,f1,auc,n_samples,sharpe,max_drawdown,win_rate,total_return,n_predictions,n_windows
pattern_trigger,xgboost_EURUSD_H1,EURUSD,H1,xgboost,0.6345776031434185,0.26851851851851855,0.05708661417322835,0.09415584415584416,0.4897798134654169,1527,-0.126868768450662,-10.631743629481756,0.49074074074074076,-0.0037598120542043922,1527,3
pattern_trigger,xgboost_EURUSD_M30,EURUSD,M30,xgboost,0.8183006535947712,0.13333333333333333,0.003669724770642202,0.007142857142857143,0.49925036934357153,3060,0.11532825114174815,-3.077592218338565,0.5333333333333333,0.000628573644780861,3060,3
pattern_trigger,xgboost_EURUSD_M5,EURUSD,M5,xgboost,0.9218458840293763,0.19148936170212766,0.013157894736842105,0.024623803009575923,0.5043274957746302,18246,0.13427850128281493,-4.784162686359279,0.4772727272727273,0.0008866443876247576,18246,3
pattern_trigger,xgboost_EURUSD_M15,EURUSD,M15,xgboost,0.8090805160868855,0.36507936507936506,0.019965277777777776,0.03786008230452675,0.5059593035438879,6123,-0.09820652492895628,-3605761.424879672,0.532258064516129,-0.0009116603002989887,6123,3
pattern_trigger,xgboost_GOLD_M30,GOLD,M30,xgboost,0.49870801033591733,0.49056603773584906,0.5473684210526316,0.5174129353233831,0.4995725353994122,387,0.10198213975149041,-47004751.634012185,0.5707547169811321,0.009910140981702398,387,3
pattern_trigger,xgboost_EURUSD_H4,EURUSD,H4,xgboost,0.5903614457831325,0.34285714285714286,0.13186813186813187,0.19047619047619047,0.49314925580748364,249,0.2194423575173726,-35580643.63397784,0.5142857142857142,0.006405764267990888,249,3
pattern_trigger,xgboost_GOLD_M15,GOLD,M15,xgboost,0.5152777777777777,0.5130718954248366,0.43977591036414565,0.473604826546003,0.5146537954024585,720,0.17971328569571593,-17.037220451529894,0.5261437908496732,0.01889420135289721,720,3
pattern_trigger,xgboost_GOLD_M5,GOLD,M5,xgboost,0.7526640170497091,0.3249211356466877,0.050589390962671905,0.08754781130471738,0.5091911511965892,17361,0.056803478710023926,-79093604.25355504,0.5283911671924291,0.005141670840868251,17361,3
pattern_trigger,xgboost_GOLD_H4,GOLD,H4,xgboost,0.5555555555555556,0.6031746031746031,0.6666666666666666,0.6333333333333333,0.5357142857142857,99,0.35613753940566223,-29976986.17203337,0.532258064516129,0.035333364857242255,99,3
pattern_trigger,xgboost_GOLD_H1,GOLD,H1,xgboost,0.4864864864864865,0.48322147651006714,0.6605504587155964,0.5581395348837209,0.4895672647560283,222,-0.18044509040193496,-2.9606591089456806,0.5067567567567568,-0.02158826562752858,222,3
