Timeframe,Ativo,Status,Linhas,Nulos,Erros_OHLC,Precos_Inval,Duplicatas
H1,NERUSD,✅ OK,37253,0,0,0,0
H1,SANUSD,✅ OK,37253,0,0,0,0
H1,XAGEUR,✅ OK,37253,0,0,0,0
H1,AVAXUSD,✅ OK,35798,0,0,0,0
H1,USDTWD,✅ OK,15353,0,0,0,0
H1,USDINR,✅ OK,13996,0,0,0,0
H1,BTCEUR,✅ OK,27019,0,0,0,0
H1,BTCGBP,✅ OK,27019,0,0,0,0
H1,ETHEUR,✅ OK,27019,0,0,0,0
H1,ETHGBP,✅ OK,27019,0,0,0,0
H1,USDKRW,✅ OK,27019,0,0,0,0
H1,XAUCHF,✅ OK,27019,0,0,0,0
H1,XAUEUR,✅ OK,27019,0,0,0,0
H1,XAUGBP,✅ OK,27019,0,0,0,0
H1,AUDCNH,✅ OK,18576,0,0,0,0
H1,USDIDR,✅ OK,12698,0,0,0,0
H1,ARBUSD,✅ OK,21951,0,0,0,0
H1,PEPUSD,✅ OK,20410,0,0,0,0
H1,AUDDKK,✅ OK,12762,0,0,0,0
H1,XAGSGD,✅ OK,12762,0,0,0,0
H1,AUDHUF,✅ OK,11984,0,0,0,0
H1,AUDNOK,✅ OK,11984,0,0,0,0
H1,CADMXN,✅ OK,11984,0,0,0,0
H1,CADSGD,✅ OK,11984,0,0,0,0
H1,CHFDKK,✅ OK,11984,0,0,0,0
H1,CHFNOK,✅ OK,11984,0,0,0,0
H1,CHFSEK,✅ OK,11984,0,0,0,0
H1,CNHJPY,✅ OK,11984,0,0,0,0
H1,EURCNH,✅ OK,11984,0,0,0,0
H1,GBPCNH,✅ OK,11984,0,0,0,0
H1,GBPDKK,✅ OK,11984,0,0,0,0
H1,GBPMXN,✅ OK,11984,0,0,0,0
H1,GBPNOK,✅ OK,11984,0,0,0,0
H1,GBPSEK,✅ OK,11984,0,0,0,0
H1,GBPSGD,✅ OK,11984,0,0,0,0
H1,NOKJPY,✅ OK,11984,0,0,0,0
H1,NOKSEK,✅ OK,11984,0,0,0,0
H1,NZDCNH,✅ OK,11984,0,0,0,0
H1,SEKJPY,✅ OK,11984,0,0,0,0
H1,XAGAUD,✅ OK,11984,0,0,0,0
H1,XAUAUD,✅ OK,11984,0,0,0,0
H1,XAUSGD,✅ OK,11984,0,0,0,0
H1,XAUCNH,✅ OK,9345,0,0,0,0
H1,XAUJPY,✅ OK,9345,0,0,0,0
H1,APTUSD,✅ OK,10821,0,0,0,0
H1,FLOUSD,✅ OK,10821,0,0,0,0
H1,RENDERUSD,✅ OK,10821,0,0,0,0
H1,WIFUSD,✅ OK,10821,0,0,0,0
H1,TRUMPUSD,✅ OK,10326,0,0,0,0
