source_file,expert,market_key,symbol,timeframe,feature,sharpe,win_rate,threshold,samples
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,volume_spike,-0.3154985434119928,0.4,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,volume_dry,-0.032437112266659025,0.5169491525423728,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,volume_increasing,-0.07108999084353883,0.4742547425474255,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,volume_3x_increasing,-0.07683259612081605,0.4857142857142857,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,macd,0.06206433556208402,0.5386430678466076,0.3711859706873213,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,macd_signal,0.07813203203500235,0.5309734513274337,0.3420613601826361,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,macd_hist,0.03867969065352365,0.5329400196656834,-0.09472351281703117,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,macd_losing_momentum,0.02990979005223449,0.5264127764127764,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,macd_bearish_cross,0.016619385540899458,0.5095057034220533,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,bb_upper,-0.04637840304262084,0.5470136014192786,151.08498845303498,6762
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,bb_lower,-0.04482366423844659,0.550561797752809,148.13230062159585,6762
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,bb_touch_upper,0.04817522305841139,0.544260700389105,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,bb_touch_lower,0.15403587702133334,0.5930232558139535,0.0,6781
backtest_exhaustion_detector.json,exhaustion_detector,USDJPY_H4,USDJPY,H4,bb_width,0.095298694027181,0.5381431105854524,0.03556276727187632,6762
