Timeframe,Ativo,Status,Linhas,Nulos,Erros_OHLC,Precos_Inval,Duplicatas
D1,GLMRUSD,✅ OK,1558,0,0,0,0
D1,MANUSD,✅ OK,1558,0,0,0,0
D1,NERUSD,✅ OK,1558,0,0,0,0
D1,SANUSD,✅ OK,1558,0,0,0,0
D1,XAGEUR,✅ OK,1558,0,0,0,0
D1,AVAXUSD,✅ OK,1529,0,0,0,0
D1,USDTWD,✅ OK,798,0,0,0,0
D1,USDINR,✅ OK,766,0,0,0,0
D1,BTCEUR,✅ OK,1134,0,0,0,0
D1,BTCGBP,✅ OK,1134,0,0,0,0
D1,ETHEUR,✅ OK,1134,0,0,0,0
D1,ETHGBP,✅ OK,1134,0,0,0,0
D1,USDKRW,✅ OK,1134,0,0,0,0
D1,XAUCHF,✅ OK,1134,0,0,0,0
D1,XAUEUR,✅ OK,1134,0,0,0,0
D1,XAUGBP,✅ OK,1134,0,0,0,0
D1,AUDCNH,✅ OK,785,0,0,0,0
D1,USDIDR,✅ OK,660,0,0,0,0
D1,ARBUSD,✅ OK,918,0,0,0,0
D1,PEPUSD,✅ OK,853,0,0,0,0
D1,AUDDKK,✅ OK,538,0,0,0,0
D1,XAGSGD,✅ OK,538,0,0,0,0
D1,AUDHUF,✅ OK,506,0,0,0,0
D1,AUDNOK,✅ OK,506,0,0,0,0
D1,CADMXN,✅ OK,506,0,0,0,0
D1,CADSGD,✅ OK,506,0,0,0,0
D1,CHFDKK,✅ OK,506,0,0,0,0
D1,CHFNOK,✅ OK,506,0,0,0,0
D1,CHFSEK,✅ OK,506,0,0,0,0
D1,CNHJPY,✅ OK,506,0,0,0,0
D1,EURCNH,✅ OK,506,0,0,0,0
D1,GBPCNH,✅ OK,506,0,0,0,0
D1,GBPDKK,✅ OK,506,0,0,0,0
D1,GBPMXN,✅ OK,506,0,0,0,0
D1,GBPNOK,✅ OK,506,0,0,0,0
D1,GBPSEK,✅ OK,506,0,0,0,0
D1,GBPSGD,✅ OK,506,0,0,0,0
D1,NOKJPY,✅ OK,506,0,0,0,0
D1,NOKSEK,✅ OK,506,0,0,0,0
D1,NZDCNH,✅ OK,506,0,0,0,0
D1,SEKJPY,✅ OK,506,0,0,0,0
D1,XAGAUD,✅ OK,506,0,0,0,0
D1,XAUAUD,✅ OK,506,0,0,0,0
D1,XAUSGD,✅ OK,506,0,0,0,0
D1,XAUCNH,✅ OK,408,0,0,0,0
D1,XAUJPY,✅ OK,408,0,0,0,0
D1,APTUSD,✅ OK,454,0,0,0,0
D1,FLOUSD,✅ OK,454,0,0,0,0
D1,RENDERUSD,✅ OK,454,0,0,0,0
D1,WIFUSD,✅ OK,454,0,0,0,0
D1,TRUMPUSD,✅ OK,435,0,0,0,0
