symbol,timeframe,tp100_entradas,tp100_wins,tp100_win_rate,tp100_score,tp100_target_efficiency,tp200_entradas,tp200_wins,tp200_win_rate,tp200_score,tp200_target_efficiency,tp300_entradas,tp300_wins,tp300_win_rate,tp300_score,tp300_target_efficiency,tp400_entradas,tp400_wins,tp400_win_rate,tp400_score,tp400_target_efficiency,tp500_entradas,tp500_wins,tp500_win_rate,tp500_score,tp500_target_efficiency,entradas_media_por_alvo,favor_media,contra_media,favor_apos_voltar_media,favor_contra_ratio,recovery_favor_ratio,stop_curto,stop_sugerido,stop_folgado,best_target,best_target_win_rate,best_target_score,best_target_entries,win_rate_decay_100_to_500,score_decay_100_to_500,tp100_best_pattern_name,tp100_best_pattern_wr,tp100_best_pattern_entries,tp100_best_pattern_score,tp100_best_pattern_stop,tp200_best_pattern_name,tp200_best_pattern_wr,tp200_best_pattern_entries,tp200_best_pattern_score,tp200_best_pattern_stop,tp300_best_pattern_name,tp300_best_pattern_wr,tp300_best_pattern_entries,tp300_best_pattern_score,tp300_best_pattern_stop,tp400_best_pattern_name,tp400_best_pattern_wr,tp400_best_pattern_entries,tp400_best_pattern_score,tp400_best_pattern_stop,tp500_best_pattern_name,tp500_best_pattern_wr,tp500_best_pattern_entries,tp500_best_pattern_score,tp500_best_pattern_stop,compra_entries,compra_avg_wr,compra_best_score,venda_entries,venda_avg_wr,venda_best_score,prev_alta_entries,prev_alta_avg_wr,prev_alta_best_score,prev_baixa_entries,prev_baixa_avg_wr,prev_baixa_best_score,prev_doji_entries,prev_doji_avg_wr,prev_doji_best_score
AUDCAD,H1,17131,16976,99.09520751853366,98.59400098300122,99.09520751853366,17131,16731,97.665051660732,194.03666710073514,195.330103321464,17131,16275,95.00321055396648,282.24167814953967,285.00963166189945,17131,15931,92.995154982196,368.1003112665974,371.980619928784,17131,15314,89.39349716887513,441.0920518117147,446.96748584437563,17131.0,1497.321863652969,55.39463974326548,1462.273524083864,27.030085773018744,0.9765926482335767,70,90,120,500,89.39349716887513,441.0920518117147,17131,9.701710349658526,-342.49805082871353,compra_acima_minima_prev_alta,99.46705426356588,2064,99.02866801524017,130,compra_acima_maxima_prev_baixa,98.25581395348836,1204,195.5727444631374,90,compra_acima_minima_prev_alta,96.12403100775194,2064,285.18382939906894,130,compra_acima_maxima_prev_alta,94.1919191919192,1584,373.8238331403472,80,compra_acima_abertura_prev_alta,90.50387596899223,2064,448.5370113956329,70,76985,94.58855621224915,500.0,8670,96.97808535178777,500.0,42155,95.20104376705017,475.86558967318456,40935,94.13948943446928,474.35188886716895,2565,99.76608187134502,500.0
AUDCAD,M15,61831,59135,95.63972764470896,93.90922933561144,95.63972764470896,61831,55280,89.40499102392005,174.60505088207682,178.8099820478401,61831,50699,81.99608610567515,238.8428921534967,245.98825831702544,61831,46287,74.86050686548819,289.46470338309086,299.44202746195276,61831,41803,67.60848118257832,325.18690883032303,338.0424059128916,61831.0,866.4142359448546,39.68784901699105,841.5669081378709,21.830717899377643,0.971321653341882,50,60,80,500,67.60848118257832,325.18690883032303,61831,28.03124646213064,-231.2776794947116,compra_acima_minima_prev_alta,97.5992919570749,9039,96.79920312883722,50,compra_acima_minima_prev_alta,91.5919902644098,9039,180.38182610734202,50,compra_acima_minima_prev_alta,84.22391857506362,9039,247.41402913962898,50,compra_acima_minima_prev_alta,76.88903639783162,9039,299.85390797755457,50,compra_acima_minima_prev_alta,69.69797543976104,9039,338.3910601456116,50,300380,81.72548105732739,338.3910601456116,8775,87.94301994301995,385.99044078613827,170160,82.29842501175365,358.8782372291958,135490,81.49162299800723,385.99044078613827,3505,78.51640513552069,310.41992204595755
AUDCAD,M30,54634,53351,97.651645495479,96.49504796205339,97.651645495479,54634,50844,93.06292784712817,182.70925035389544,186.12585569425633,54634,46796,85.65362228648826,249.89507460148357,256.9608668594648,54634,43744,80.06735732327854,310.4523231832118,320.2694292931142,54634,40869,74.80506644214225,361.61647402863525,374.0253322107112,54634.0,1063.3637544733242,49.25140268213121,1051.434416809699,21.590527305682816,0.9887815081015975,70,80,100,500,74.80506644214225,361.61647402863525,54634,22.846579053336754,-265.1214260665819,compra_acima_abertura_prev_alta,98.0941380306093,6926,97.51824505349074,50,compra_acima_maxima_prev_baixa,96.55972984381596,4738,191.67821801170183,70,compra_acima_fechamento_prev_baixa,87.0921802175039,7724,257.9228089741859,50,compra_acima_fechamento_prev_baixa,80.3081305023304,7724,316.11614700156485,50,compra_acima_maxima_prev_baixa,76.74124102997045,4738,373.96235038374823,70,267985,85.99660428755341,373.96235038374823,5185,99.24783027965285,500.0,133735,85.41294350768311,489.32859962214707,132690,87.18818298289246,490.08540264392303,6745,84.31430689399555,500.0
AUDCAD,M5,19741,18537,93.90101818550224,91.50941054052845,93.90101818550224,19741,16820,85.20338382047515,164.60453680127554,170.4067676409503,19741,15155,76.76916063016058,221.19791988063974,230.30748189048174,19741,13354,67.64601590598247,257.8970220720631,270.58406362392986,19741,11587,58.69510156527025,277.27852382542414,293.47550782635125,19741.0,784.2268882115619,39.21322800616896,743.3134072504471,19.999039305516742,0.947829535588398,50,60,80,500,58.69510156527025,277.27852382542414,19741,35.20591662023199,-185.7691132848957,venda_abaixo_maxima_prev_baixa,98.07976366322008,677,97.64230664939751,50,compra_acima_minima_prev_alta,88.50158442734269,2209,173.13873044300095,60,compra_acima_minima_prev_alta,79.80986871887733,2209,232.64401744950106,60,compra_acima_minima_prev_alta,71.02761430511543,2209,274.3732895689734,60,compra_acima_minima_prev_alta,62.24535989135356,2209,298.53805286092205,60,83330,77.03948157926317,332.09368469703844,15375,73.20975609756097,500.0,41940,77.23891273247496,298.53805286092205,55360,75.72434971098266,284.4862007884715,1405,80.99644128113879,500.0
AUDCHF,H1,6660,6648,99.81981981981984,99.72574954754661,99.81981981981984,6660,6618,99.36936936936937,198.40949278578242,198.73873873873873,6660,6597,99.05405405405403,296.6682932327276,297.1621621621621,6660,6543,98.24324324324324,392.05578781830894,392.97297297297297,6660,6412,96.27627627627628,479.4372624210678,481.38138138138135,6660.0,1328.2194845414997,52.20900111164509,1282.9343327650142,25.440430888071585,0.9659053700803947,70,80,110,500,96.27627627627628,479.4372624210678,6660,3.5435435435435636,-379.7115128735212,compra_acima_abertura_prev_baixa,100.0,715,100.0,70,compra_acima_abertura_prev_baixa,99.72027972027972,715,199.3206398940303,70,compra_acima_maxima_prev_baixa,99.65986394557824,588,298.809696562712,80,compra_acima_fechamento_prev_baixa,99.16579770594367,959,396.3452079514502,60,compra_acima_maxima_prev_baixa,96.93877551020408,588,483.1648200848164,80,29960,98.77837116154873,500.0,3340,96.52694610778443,500.0,14210,98.55031667839549,483.1131751350359,17920,98.45982142857143,483.1648200848164,1170,100.0,500.0
AUDCHF,M15,58340,54551,93.50531367843676,91.07811013266927,93.50531367843676,58340,48330,82.84196091875215,159.27159470814757,165.6839218375043,58340,40445,69.32636270140556,196.51569210223477,207.97908810421666,58340,35835,61.42440863901268,231.28110887711233,245.69763455605073,58340,31346,53.7298594446349,251.3571535138982,268.6492972231745,58340.0,699.9426190854693,37.372144328338834,680.1256219868269,18.728992720280772,0.9716876833053735,50,60,80,500,53.7298594446349,251.3571535138982,58340,39.77545423380187,-160.27904338122892,venda_abaixo_maxima_prev_baixa,97.3066424021838,5495,96.69823479202059,50,compra_acima_maxima_prev_baixa,89.91745283018868,1696,173.690665073591,100,compra_acima_fechamento_prev_baixa,80.23706405288353,4387,233.27437047330758,60,compra_acima_maxima_prev_baixa,76.00235849056604,1696,289.3854227410826,100,compra_acima_maxima_prev_baixa,68.86792452830188,1696,325.3679324086252,100,136735,78.65652539583867,325.3679324086252,154965,66.4382279869648,234.67554060041735,117535,72.11639086229634,293.2772444525045,171070,72.24001870579295,325.3679324086252,3095,69.91922455573506,282.3058279918855
AUDCHF,M30,63274,60405,95.46575212567564,93.97586436189417,95.46575212567564,63274,54764,86.5505578910769,168.68182513392088,173.1011157821538,63274,47996,75.85422132313431,219.62871302654713,227.56266396940293,63274,43828,69.26699750292379,266.9695733318435,277.06799001169514,63274,40213,63.55375035559629,305.79304535742926,317.7687517779815,63274.0,1092.4644109980875,32.8585424766499,1067.0301408458913,33.247500607830446,0.9767184451071171,50,50,70,500,63.55375035559629,305.79304535742926,63274,31.912001770079343,-211.8171809955351,venda_abaixo_abertura_prev_baixa,97.00346170488966,9244,96.47452451790349,50,venda_abaixo_abertura_prev_baixa,89.6365209865859,9244,177.4437213048225,50,compra_acima_minima_prev_alta,79.80513728963685,1129,227.99598986967104,90,compra_acima_minima_prev_alta,74.13640389725421,1129,281.9207418005171,90,venda_abaixo_abertura_prev_baixa,64.91778450887062,9244,318.39634746350055,50,49965,75.2046432502752,315.63483729783036,266405,78.68846305437211,333.8425351043069,107010,78.06186337725447,315.63483729783036,204715,78.60586669271915,318.39634746350055,4645,59.28955866523143,333.8425351043069
AUDCHF,M5,35963,32871,91.4022745599644,89.41937029108007,91.4022745599644,35963,28818,80.13235825709756,155.6826172253276,160.26471651419513,35963,23410,65.09468064399522,187.2337840771005,195.28404193198566,35963,18904,52.56513639017879,199.32058310182202,210.26054556071517,35963,14971,41.6288963657092,194.6822805308682,208.144481828546,35963.0,578.3384206948983,23.06312620371501,555.9530707362507,25.076323806295747,0.9612936834929418,50,50,50,400,52.56513639017879,199.32058310182202,35963,49.773378194255194,-105.26291023978814,compra_acima_minima_prev_alta,96.7877094972067,716,95.75296142738586,50,compra_acima_minima_prev_alta,91.89944134078212,716,181.18951798375514,50,compra_acima_minima_prev_alta,83.37988826815642,716,244.78596826930922,50,compra_acima_minima_prev_alta,72.20670391061452,716,279.873995386182,50,compra_acima_minima_prev_baixa,62.90832455216017,949,295.5716709198885,80,25420,78.90243902439025,295.5716709198885,154395,64.06748923216425,197.4355702710232,77530,66.39236424609828,294.10227992569173,97325,66.04572309273054,295.5716709198885,4960,64.93951612903226,250.0512541615456
AUDJPY,H1,19875,19791,99.57735849056604,99.13837817686127,99.57735849056604,19875,19638,98.80754716981131,196.3765427402413,197.61509433962263,19875,19508,98.15345911949686,292.54245146408994,294.4603773584906,19875,19363,97.42389937106918,387.0199079531238,389.69559748427673,19875,19210,96.65408805031448,479.7951794347429,483.2704402515724,19875.0,2995.595097128228,103.86587779621983,2932.418542312154,28.84099341052708,0.9789101821946437,130,160,210,500,96.65408805031448,479.7951794347429,19875,2.9232704402515566,-380.6568012578816,compra_acima_minima_prev_baixa,100.0,2175,100.0,270,compra_acima_maxima_prev_baixa,99.51503394762366,1031,198.5519301084075,150,compra_acima_maxima_prev_baixa,99.32104752667314,1031,297.2937496784437,150,compra_acima_maxima_prev_baixa,98.35111542192048,1031,391.77879321242654,150,compra_acima_maxima_prev_baixa,97.47817652764309,1031,484.90456614664834,150,77485,98.10931147964122,500.0,21890,98.17268158976702,489.69219905241977,54160,97.948670605613,489.69219905241977,44945,98.3646679274669,487.49048057562436,270,92.96296296296296,500.0
AUDJPY,M15,181128,177039,97.74248045581024,96.24860386994754,97.74248045581024,181128,171060,94.4414999337485,185.2047534829371,188.882999867497,181128,165735,91.5015900357758,268.8810864961305,274.50477010732743,181128,158532,87.52484430899695,341.8441472692103,350.0993772359878,181128,149214,82.38041605936134,400.2426091886576,411.9020802968067,181128.0,1526.753743295396,66.17336225095035,1480.9907498981802,23.0720291570253,0.9700259497648852,90,100,140,500,82.38041605936134,400.2426091886576,181128,15.3620643964489,-303.99400531871004,compra_acima_minima_prev_doji,98.40989399293288,566,97.90771702622668,50,compra_acima_minima_prev_doji,95.40636042402826,566,189.36198738868305,50,compra_acima_minima_prev_doji,93.46289752650176,566,278.32418727193533,50,compra_acima_minima_prev_doji,90.81272084805654,566,360.3494164734792,50,compra_acima_minima_prev_doji,88.16254416961131,566,437.0742923181326,50,901260,90.68925726205535,446.3472504498037,4380,96.66666666666667,500.0,491915,90.76263175548621,471.004125483665,403230,90.60982565781316,491.9889312544654,10495,92.79656979514054,500.0
